#+TITLE: NATUURKUNDE HAVO: DEFINITIES
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil


* Hd1
| **Term**                          | **Definitie**                                                                                                        |
|-----------------------------------|----------------------------------------------------------------------------------------------------------------------|
| Kwalitatieve waarnemingen          | Waarnemingen die worden gedaan zonder numerieke metingen, gebaseerd op eigenschappen, kenmerken of verschijnselen.  |
| Kwantitatieve waarnemingen         | Waarnemingen gedaan door middel van numerieke metingen of gegevens.                                                  |
| Grootheid                          | Een eigenschap van een object, fenomeen of systeem die kan worden gemeten, zoals lengte, massa, tijd, temperatuur.   |
| Eenheid                            | Een vastgestelde maat waarmee een grootheid wordt gemeten, zoals meter, kilogram, seconde.                           |
| Het SI-stelsel                     | Het Internationale Stelsel van Eenheden, een gestandaardiseerd systeem van meeteenheden voor wetenschap en techniek.|
| Afgeleide grootheden               | Grootheden verkregen door wiskundige combinaties van basiseenheden, zoals snelheid (afstand gedeeld door tijd).      |
| Afgeleide eenheden                 | Eenheden afgeleid van basiseenheden van het SI-stelsel door wiskundige bewerkingen.                                   |
| Wetenschappelijke notatie           | Een methode om zeer grote of zeer kleine getallen te schrijven met machten van 10, voor een eenvoudigere presentatie.|
| Orde van grootte                   | Een benadering van de grootte van een getal, meestal uitgedrukt als een macht van 10.                                |
| Vermenigvuldigingsfactoren          | Getallen waarmee een grootheid wordt vermenigvuldigd om deze in een andere eenheid uit te drukken.                    |
| Machten van eenheden               | Machten waarin eenheden worden gebruikt om grootheden met bepaalde dimensies te vertegenwoordigen, zoals m² voor oppervlakte. |
| Omrekenen van eenheden             | Het proces van omzetten van een waarde van de ene eenheid naar een andere, vaak met omrekeningsfactoren.             |
| Dichtheid                          | De massa per volume-eenheid van een stof.                                                                             |
| Oppervlakte                        | De ruimte beslaan door een tweedimensionaal object, uitgedrukt in vierkante eenheden.                                 |
| Meetonzekerheid                    | De mate van onzekerheid of fout in een meting, veroorzaakt door beperkingen van instrumenten of menselijke fouten.   |
| Significante cijfers               | De cijfers in een numerieke waarde die bijdragen aan de nauwkeurigheid van de meting.                                 |
| Rekenen met telwaarden             | Het uitvoeren van wiskundige bewerkingen met getallen zonder rekening te houden met eenheden.                         |
| Lineair verband                    | Een verband tussen twee variabelen waarbij een verandering in de ene variabele een proportionele verandering in de andere veroorzaakt. |
| Recht evenredig verband            | Een type lineair verband waarbij de verhouding tussen twee variabelen constant is.                                    |
| Kwadratisch evenredig verband      | Een verband waarbij de ene variabele kwadratisch afhangt van de andere variabele.                                     |
| Omgekeerd evenredig verband        | Een verband waarbij een toename in één variabele resulteert in een proportionele afname in de andere variabele.       |
| Omgekeerd kwadratisch evenredig verband | Een verband waarbij de ene variabele omgekeerd kwadratisch afhangt van de andere variabele.                           |

* Hd2

| **Term**                           | **Definitie**                                                                                           |
|------------------------------------|---------------------------------------------------------------------------------------------------------|
| Videometen                         | Het proces van het meten van fysieke grootheden zoals afstand, snelheid of versnelling met videobeelden en analyse. |
| Stroboscopische foto                | Een foto gemaakt met een stroboscoop, waarmee snel bewegende objecten kunnen worden vastgelegd en geanalyseerd. |
| Ultrasone plaats sensor            | Een sensor die ultrasone geluidsgolven gebruikt om de afstand tot een object te meten.                  |
| Eenparig rechtlijnige beweging     | Een beweging waarbij een object met constante snelheid langs een rechte lijn beweegt.                   |
| Gemiddelde snelheid                | De totale afstand die een object aflegt gedeeld door de totale tijd die het kost om die afstand af te leggen. |
| Constante snelheid                 | Een snelheid die niet verandert in de loop van de tijd.                                                 |
| Snelheid op een tijdstip            | De snelheid van een object op een specifiek moment in de tijd.                                           |
| Eenparig versnelde beweging        | Een beweging waarbij de snelheid van een object verandert met een constante snelheid.                   |
| Versnellen                         | Het proces waarbij de snelheid van een object toeneemt.                                                   |
| Vrije val                           | Een beweging waarbij een object alleen door de zwaartekracht wordt beïnvloed, zonder luchtwrijving.       |
| Vertragen                          | Het proces waarbij de snelheid van een object afneemt.                                                    |
| Plaats-tijd diagram                 | Een grafische voorstelling van de positie van een object ten opzichte van de tijd.                      |
| Snelheid-tijd diagram               | Een grafische voorstelling van de snelheid van een object ten opzichte van de tijd.                      |
| Snelheid                            | De snelheid waarmee een object zich verplaatst, uitgedrukt als de afstand die wordt afgelegd per tijdseenheid. |
| Verplaatsing                        | De verandering in positie van een object, gemeten vanaf het startpunt tot het eindpunt, inclusief richting. |


* Hd3

| **Term**                          | **Definitie**                                                                                          |
|-----------------------------------|--------------------------------------------------------------------------------------------------------|
| Krachten                          | Fysieke interacties tussen objecten of deeltjes die veranderingen in beweging, vorm of richting kunnen veroorzaken. |
| Zwaartekracht                     | De aantrekkende kracht die alle massa's op elkaar uitoefenen, gerelateerd aan hun massa en de afstand tussen hen. |
| Normaalkracht                     | De kracht die loodrecht staat op het oppervlak waarop een object rust, gericht van het oppervlak af.   |
| Spankracht                        | De kracht die wordt uitgeoefend op een uitgerekt of samengedrukt elastisch voorwerp, zoals een touw of veer. |
| Veerkracht                        | De kracht die wordt uitgeoefend door een veer wanneer deze wordt samengedrukt of uitgerekt.              |
| Schijfwrijvingskracht             | De kracht die optreedt wanneer twee oppervlakken langs elkaar bewegen, waarbij wrijving weerstand biedt tegen de beweging. |
| Weerstandskrachten                | Krachten die tegenwerken en de beweging van een object vertragen, zoals luchtweerstand of wrijving.     |
| Krachten samenstellen             | Het proces van het combineren van meerdere krachten tot een enkele resulterende kracht.                |
| Resulterende kracht               | De enkele kracht die het effect van meerdere toegepaste krachten op een object vertegenwoordigt.       |
| Werklijnen van kracht             | Denkbeeldige lijnen die de richting van krachten aangeven en helpen bij het bepalen van de resulterende kracht. |
| Krachten ontbinden                | Het proces van het opsplitsen van een enkele kracht in twee of meer componenten.                        |
| Componenten van een kracht         | De afzonderlijke krachten die samenwerken om de oorspronkelijke kracht te produceren.                   |
| Omgekeerde parallellogrammethode  | Een geometrische techniek gebruikt om de componenten van een kracht te vinden door een parallellogram te construeren. |
| Krachten in evenwicht             | Een situatie waarin de resulterende kracht op een object nul is, wat resulteert in een stabiele toestand waarin het object niet versnelt. |


* Hd4

| **Term**                              | **Definitie**                                                                                                    |
|---------------------------------------|------------------------------------------------------------------------------------------------------------------|
| Eerste wet van Newton                 | Ook bekend als de wet van de traagheid, stelt dat een object in rust blijft of met constante snelheid beweegt, tenzij er een resulterende kracht op wordt uitgeoefend. |
