#+TITLE: NATUURKUNDE HAVO: VEELGESTELDE VRAGEN 2024-2025
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil

* Hd1
** Hd1.txt
|#| Vraag                                                                                                   | Antwoord                   |
|-------------------------------------------------------------------------------------------------------------|--------------------------------|
| 1 | Wat is de eenheid van lengte in het Internationale Eenhedenstelsel (SI)?                                 | Meter (m)                       |
| 2 | Welke letter wordt gebruikt om de hoeveelheid stof in het SI-systeem aan te geven?                        | mol                            |
| 3 | Wat is een basisgrootheid?                                                                               | Een eigenschap die je kunt meten, zoals lengte of tijd. |
| 4 | Hoe noem je een grootheid die geen basisgrootheid is?                                                      | Afgeleide grootheid             |
| 5 | Wat is een voorbeeld van een afgeleide grootheid?                                                          | Oppervlakte (vierkante meter)   |
| 6 | Wat betekent een negatieve macht van tien in wetenschappelijke notatie?                                  | Delen door 10                   |
| 7 | Wat is de wetenschappelijke notatie van 0,00045?                                                          | 4,5 × 10⁻⁴                      |
| 8 | Hoe noteer je de orde van grootte van 1500?                                                                | 10³                             |
| 9 | Wat is de basisgrootheid voor temperatuur in het SI-systeem?                                               | Kelvin (K)                      |
| 10 | Welke eenheid wordt gebruikt voor snelheid in het SI-systeem?                                              | Meter per seconde (m/s)         |
| 11 | Hoe schrijf je 0,0012 in wetenschappelijke notatie?                                                        | 1,2 × 10⁻³                      |
| 12 | Wat is de eenheid van massa in het SI-systeem?                                                             | Kilogram (kg)                   |
| 13 | Wat is de afgeleide eenheid voor volume?                                                                    | Kubieke meter (m³)              |
| 14 | Welke Griekse letter wordt gebruikt voor de eenheid van temperatuur?                                       | Er wordt geen Griekse letter gebruikt voor temperatuur. Het symbool is K voor Kelvin. |
| 15 | Hoe schrijf je 5.000.000 in wetenschappelijke notatie?                                                      | 5 × 10⁶                         |
| 16 | Wat is de basisgrootheid voor tijd in het SI-systeem?                                                       | Tijd (seconde)                  |
| 17 | Hoe wordt de eenheid van snelheid (m/s) in wetenschappelijke notatie geschreven?                           | m × s⁻¹                         |
| 18 | Wat is de eenheid van druk in het SI-systeem?                                                               | Pascal (Pa)                     |
| 19 | Hoe schrijf je 0,00000089 in wetenschappelijke notatie?                                                     | 8,9 × 10⁻⁷                      |
| 20 | Wat is een voorbeeld van een afgeleide eenheid voor snelheid?                                               | Meter per seconde (m/s)         |
| 21 | Hoe noem je een eenheid die is uitgedrukt in machten van tien?                                               | Wetenschappelijke notatie       |
| 22 | Wat is de basisgrootheid voor kracht in het SI-systeem?                                                      | Kracht (Newton, N)              |
| 23 | Hoe noteer je 2.5 × 10⁻⁹ in gewone getallen?                                                                | 0,0000000025                    |
| 24 | Wat is de eenheid voor energie in het SI-systeem?                                                            | Joule (J)                       |
| 25 | Wat is een voorbeeld van een voorvoegsel in het SI-systeem?                                                  | Kilo (k)                        |
| 26 | Hoe schrijf je 3 × 10² in gewone getallen?                                                                  | 300                            |
| 27 | Wat is de eenheid van druk in basiseenheden van het SI?                   | Pascal (Pa), wat gelijk is aan \( \text{kg} \cdot \text{m}^{-1} \cdot \text{s}^{-2} \). |
| 28 | Hoe reken je km/h om naar m/s?                                            | Deel door 3,6.                                         |
| 29 | Wat is de dichtheid van aluminium in kg/m³?                               | Dit vind je in de BINAS tabel.                        |
| 30 | Hoe bereken je de massa van een stof in een volume gegeven de dichtheid?   | Vermenigvuldig het volume met de dichtheid.            |
| 31 | Wat is de omrekeningsfactor van hectopascal naar pascal?                  | 1 hPa = 100 Pa.                                        |
| 32 | Hoe reken je een snelheid uitgedrukt in km/h om naar m/s?                  | Deel de snelheid in km/h door 3,6.                     |
| 33 | Wat is de eenheid van de veerconstante in het SI?                         | Newton per meter (N/m).                                |
| 34 | Hoe vind je de massa van een gas in een ballon?                           | Vermenigvuldig de dichtheid met het volume.            |
| 35 | Hoe reken je km om naar m?                                                 | Vermenigvuldig het aantal kilometers met 1000.         |
