#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil


| Term                        | Definitie                                                                                                   |
|---------------------------------|-----------------------------------------------------------------------------------------------------------------|
| Aarding                       | Een veiligheidsvoorziening die elektrische apparaten verbindt met de aarde om elektrische schokken te voorkomen.  |
| Aarding                                 | Een veiligheidsmaatregel die elektrische installaties verbindt met de aarde om elektrische schokken te voorkomen.        |
| Aardlekschakelaar             | Een veiligheidsvoorziening die elektrische stroom uitschakelt wanneer er lekstroom naar de aarde optreedt, wat kan duiden op een elektrisch defect of gevaar. |
| Aardlekschakelaar                       | Een apparaat dat elektrische circuits uitschakelt bij lekstroom om de veiligheid van gebruikers te waarborgen.            |
| Aardmagnetisch veld          | Het magnetische veld dat wordt geproduceerd door de beweging van gesmolten ijzer in de buitenkern van de aarde.   |
| Absorptie van licht            | Het proces waarbij lichtenergie wordt geabsorbeerd door een materiaal en omgezet in andere vormen van energie.   |
| Absorptie spectrum             | Het spectrum van licht dat door een materiaal wordt geabsorbeerd.                                               |
| Absorptiespectrum             | Een spectrum van elektromagnetische straling waarbij bepaalde golflengten worden geabsorbeerd door een materiaal, resulterend in donkere lijnen in het spectrum. |
| Activiteit                    | De snelheid waarmee een radioactieve bron kernen vervalt, gemeten in becquerel (Bq) of curie (Ci).                     |
| Activiteit                    | De snelheid waarmee radioactieve isotopen vervallen, uitgedrukt in het aantal vervallen kernen per seconde.   |
| Afgeleide eenheden          | Eenheden die worden afgeleid van basiseenheden door middel van wiskundige operaties, zoals snelheid (m/s), versnelling (m/s²), enzovoort. |
| Afgeleide grootheden               | Grootheden verkregen door wiskundige combinaties van basiseenheden, zoals snelheid (afstand gedeeld door tijd).      |
| Afgeleide eenheden                 | Eenheden afgeleid van basiseenheden van het SI-stelsel door wiskundige bewerkingen.                                   |
| Afstand tussen moleculen   | De gemiddelde afstand tussen de individuele moleculen in een materiaal.                                      |
| Afstanden in het heelal            | De enorme schalen waarop afstanden worden gemeten tussen hemellichamen in het universum.                        |
| Algemene gaswet            | Een wet die de relatie beschrijft tussen druk, volume en temperatuur van een gas, zoals de wet van Boyle, Charles en Gay-Lussac. |
| Algemene relativiteit           | De theorie die de zwaartekracht beschrijft als een kromming van de ruimtetijd door massa en energie.              |
| Amplitude                    | De maximale uitwijking of verplaatsing van een trillend object vanuit zijn evenwichtspositie.                     |
| Amplitude                           | De maximale afwijking van een trillende beweging vanaf de evenwichtspositie.                                      |
| Analoog-digitaal signaal      | Een signaal dat zowel continue (analoog) als discrete (digitaal) waarden kan aannemen.                           |
| Analoog-digitaal omzetter     | Een apparaat dat analoge signalen omzet in digitale vorm.                                                         |
| Annihilatie                         | Het proces waarbij een deeltje en zijn antideeltje elkaar ontmoeten en volledig omgezet worden in energie.           |
| Arbeid                         | De maat voor de overdracht van energie die plaatsvindt wanneer een kracht een object verplaatst over een bepaalde afstand. |
| Arbeid verricht door een kracht| De hoeveelheid energie die wordt overgedragen wanneer een kracht een object verplaatst over een bepaalde afstand. |
| Arbeid langs een kromme baan   | De totale hoeveelheid arbeid die wordt verricht door een kracht wanneer een object langs een niet-rechte weg wordt verplaatst. |
| Arbeid en verandering van snelheid | De relatie tussen de arbeid verricht door een kracht en de verandering van snelheid van een object, zoals beschreven door de wet van arbeid en kinetische energie. |
| Arbeid                            | De hoeveelheid energie die wordt overgedragen wanneer een kracht wordt toegepast over een afstand.   |
| Atoombouw                     | De structuur van atomen, inclusief hun samenstelling van protonen, neutronen en elektronen.                           |
| Atoombouw                     | De structuur en samenstelling van atomen, inclusief hun kernen en elektronenschillen.                        |
| Atoommodel van Bohr            | Een model dat de elektronen in een atoom beschrijft als zich in discrete energieniveaus rond de kern bewegend.       |
| Atoommodel van Rutherford            | Een atoommodel waarin een kleine, dichte positief geladen kern wordt omringd door negatief geladen elektronen.      |
| Atoommodel van Thomson              | Een atoommodel waarin elektronen gelijkmatig verdeeld zijn in een positief geladen bolvormige massa.                |
| Atoomnummer                         | Het aantal protonen in de kern van een atoom, wat het atoom zijn identiteit geeft in het periodiek systeem.           |
| Baansnelheid                  | De snelheid waarmee een object zich beweegt langs zijn baan, gerelateerd aan de omloopsnelheid in een cirkelbeweging. |
| Baansnelheid                       | De snelheid waarmee een object zich beweegt langs zijn baan in een cirkelbeweging.                               |
| Banen van satellieten          | De paden die kunstmatige satellieten volgen rond een hemellichaam, zoals de aarde, inclusief geostationaire, polaire en andere baanconfiguraties. |
| Barionen                            | Deeltjes bestaande uit drie quarks, zoals protonen en neutronen.                                                     |
| Bedrading                     | De fysieke verbindingen tussen elektrische componenten in een circuit.                                            |
| Bedrading                               | Draden die worden gebruikt om elektrische circuits aan te leggen en elektrische componenten met elkaar te verbinden.    |
| Beeldvorming door lens         | Het proces waarbij een lens lichtstralen buigt om een beeld te vormen.                                           |
| Behoud van leptongetal               | Het principe dat het totale leptongetal van een systeem behouden blijft in de loop van tijd in bepaalde fysische processen. |
| Bestraling en besmetting      | Blootstelling aan ioniserende straling van buitenaf (bestraling) of het inwendige van het lichaam (besmetting). |
| Bestralingsbesmetting          | Blootstelling aan radioactieve materialen die zich aan het lichaam hechten, wat kan leiden tot interne stralingsblootstelling. |
| Beveiliging                             | Maatregelen of apparaten die worden gebruikt om elektrische installaties en apparatuur te beschermen tegen schade.      |
| Beweging van planeten          | De orbitale beweging van hemellichamen rond een centrale ster, zoals de aarde die om de zon draait.              |
| Beweging van sterren           | De beweging van sterren door de ruimte, inclusief hun rotatie om hun as en hun beweging door ons sterrenstelsel.   |
| Beweging van de aarde               | De periodieke rotatie om haar eigen as en de omloop om de Zon.                                                   |
| Beweging van de maan                | De omloop van de maan rond de aarde.                                                                             |
| Beweging van planeten              | De banen die planeten volgen onder invloed van de zwaartekracht van de zon.                                      |
| Bijas                          | De denkbeeldige lijn die loodrecht door het midden van een lens loopt.                                           |
| Binair stelsel                | Het getallenstelsel gebaseerd op het binaire systeem, dat gebruikmaakt van slechts twee cijfers (0 en 1).        |
| Binaire getallen              | Getallen die worden uitgedrukt in het binaire stelsel, bestaande uit slechts twee cijfers: 0 en 1.               |
| Bits                          | De kleinste eenheid van digitale informatie, met een waarde van 0 of 1.                                         |
| Blaasinstrumenten            | Muziekinstrumenten die geluid produceren door luchttrillingen, zoals fluiten, klarinetten en trompetten.          |
| Blaasinstrumenten                   | Muziekinstrumenten waarbij geluid wordt geproduceerd door het trillen van lucht in een buis.                         |
| Brandpunt                      | Het punt waar lichtstralen die door een lens zijn gebogen samenkomen of lijken samen te komen.                   |
| Brandvlak                      | Het vlak waarin het brandpunt zich bevindt na breking door een lens.                                             |
| Breking van licht              | Het fenomeen waarbij lichtstralen van richting veranderen wanneer ze een grens tussen twee verschillende media passeren. |
| Breking van lichtstralen        | Het buigen van lichtstralen wanneer ze van het ene medium naar het andere gaan.                                 |
| Breking door positieve lens     | Het proces waarbij lichtstralen gebogen worden bij het passeren van een positieve lens.                          |
| Buigen van golf                | Het verschijnsel waarbij een lichtgolf van richting verandert wanneer deze van het ene medium naar het andere gaat. |
| Buiging bij een spleet            | Het fenomeen waarbij lichtgolven zich verspreiden en interfereren wanneer ze door een enkele opening gaan.         |
| Buiging bij een dubbele spleet    | Het verschijnsel waarbij lichtgolven interfereren na doorgang door twee smalle openingen, resulterend in een interferentiepatroon. |
| Buiklijn                     | De punten op een staande golf waar de uitwijking maximaal is.                                                    |
| Bytes                         | Een eenheid van digitale informatie bestaande uit een aaneenschakeling van 8 bits.                              |
| CT-scan                       | Een computertomografiebeeld dat wordt verkregen door röntgenstraling te gebruiken om dwarsdoorsneden van het lichaam te maken, die vervolgens worden samengevoegd tot een 3D-beeld. |
| CT-scan                       | Een medische beeldvormingstechniek die een reeks röntgenstralen gebruikt om gedetailleerde dwarsdoorsnedebeelden van het lichaam te maken. |
| Chemische eigenschappen    | De kenmerken van een stof die betrekking hebben op de reacties en interacties met andere stoffen op moleculair niveau. |
| Chemische energie              | De energie die is opgeslagen in de chemische bindingen van moleculen en die kan worden vrijgegeven tijdens chemische reacties. |
| Chemische energie                 | De energie die opgeslagen is in de chemische bindingen van een stof.                                   |
| Cirkelvormige golf                | Een golffront dat zich uitbreidt in alle richtingen vanuit een puntbron, waarbij elke punt op het front gelijkwaardige sferische golven genereert. |
| Comparator                    | Een elektronisch circuit dat twee signalen vergelijkt en aangeeft of ze gelijk zijn, en zo niet, welke groter is. |
| Componenten van kracht     | De individuele krachten langs de gekozen assen die samen de oorspronkelijke kracht vormen.                  |
| Componenten van een kracht         | De afzonderlijke krachten die samenwerken om de oorspronkelijke kracht te produceren.                   |
| Composieten             | Materialen die zijn samengesteld uit twee of meer verschillende materialen met verschillende eigenschappen, om zo synergetische eigenschappen te verkrijgen. |
| Constante snelheid          | Een snelheid waarmee een object zich met gelijke mate voortbeweegt in een bepaalde richting zonder te versnellen of te vertragen. |
| Constante snelheid                 | Een snelheid die niet verandert in de loop van de tijd.                                                 |
| Cowan-Raines neutrino experiment     | Een experiment waarbij Frederick Reines en Clyde Cowan voor het eerst neutrino's detecteerden in 1956.              |
| De eerste wet van Newton   | Ook bekend als de wet van de traagheid, deze stelt dat een object in rust blijft of met constante snelheid beweegt tenzij er een resulterende kracht op werkt. |
| De tweede wet van Newton   | De wet die de relatie beschrijft tussen kracht, massa en versnelling, gegeven door de formule F = ma.        |
| De derde wet van Newton    | Ook bekend als de wet van actie en reactie, deze stelt dat voor elke actiekracht er een gelijke maar tegengestelde reactiekracht is. |
| De Broglie golflengte              | De golflengte geassocieerd met een deeltje, zoals voorgesteld door de golf-deeltje dualiteit van de Broglie-relatie. |
| Deeltje in een doos               | Een eenvoudig kwantummechanisch model dat een deeltje beschrijft dat is opgesloten in een oneindig diepe potentiaalput. |
| Deeltjes botsing                    | Een gebeurtenis waarbij twee of meer deeltjes fysiek tegen elkaar botsen.                                           |
| Deeltjes detecteren                 | Het proces van het identificeren en meten van subatomaire deeltjes.                                                   |
| Deeltjes versnellen                 | Het proces van het verhogen van de snelheid van subatomaire deeltjes, vaak gebruikt in deeltjesversnellers.           |
| Deeltjesversneller                  | Een apparaat dat de snelheid van geladen deeltjes verhoogt voor onderzoek naar de fundamenten van de materie.         |
| Diagrammen van kromme naar rechte | Het proces van het omzetten van grafieken met een niet-lineair verband naar grafieken met een lineair verband door middel van geschikte transformaties. |
| Dichtheid                  | De massa per volume-eenheid van een stof.                                                                     |
| Dichtheid                          | De massa per volume-eenheid van een stof.                                                                             |
| Diode                         | Een halfgeleiderapparaat dat elektrische stroom slechts in één richting doorlaat.                                |
| Diode                                   | Een halfgeleiderapparaat dat elektrische stroom toestaat in één richting.                                               |
| Doordringend vermogen         | Het vermogen van straling om door materialen of weefsels te reizen voordat het wordt geabsorbeerd.                     |
| Doorlichting                 | Een techniek waarbij röntgenstraling door het lichaam wordt gestuurd om interne structuren te visualiseren, zoals bij screeningsonderzoeken. |
| Dopplereffect                 | Het verschijnsel waarbij de frequentie van golven verandert als de bron of de ontvanger van de golven relatief beweegt, vaak gebruikt om de snelheid van sterren en andere hemellichamen te meten. |
| Dopplereffect                  | Het verschijnsel waarbij de frequentie van waargenomen golven verandert als gevolg van de relatieve beweging tussen de bron van de golven en de waarnemer. |
| Dosimeter                     | Een apparaat dat de hoeveelheid straling meet waaraan een persoon is blootgesteld.                           |
| Dosismeter                    | Een apparaat dat wordt gebruikt om de blootstelling aan ioniserende straling te meten, zoals gedragen door werknemers in stralingsgevoelige omgevingen. |
| Dracht en doordringend vermogen | De afstand die een stralingsdeeltje in een bepaald materiaal kan afleggen voordat het stopt en het vermogen van straling om door materialen te dringen. |
| Drachtvermogen                | Het vermogen van straling om door materialen of weefsels te reizen zonder te worden geabsorbeerd.                      |
