#+TITLE: NATUURKUNDE VWO: DEFINITIES
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil

* Hd1

| **Term**                        | **Definitie**                                                                                                   |
|---------------------------------|-----------------------------------------------------------------------------------------------------------------|
| **Kwalitatieve**                | Beschrijvend in termen van eigenschappen, kenmerken of observaties zonder kwantitatieve metingen.               |
| **Kwantitatieve**               | Beschreven met behulp van numerieke waarden en metingen.                                                       |
| **Grootheid**                   | Een fysieke eigenschap of kenmerk dat kan worden gemeten, zoals lengte, massa, tijd, temperatuur, enzovoort.     |
| **Eenheid**                     | Een vastgestelde maat waarmee een grootheid wordt gemeten, zoals meter, kilogram, seconde, kelvin, enzovoort.   |
| **SI-eenheden stelsel**         | Het Internationale Stelsel van Eenheden, een standaardstelsel dat wordt gebruikt voor het meten van fysieke grootheden, gebaseerd op zeven basiseenheden. |
| **Machten van 10**              | Een notatie die wordt gebruikt om grote of kleine getallen te representeren door ze te schrijven als een getal vermenigvuldigd met een macht van 10. |
| **Orde van grootte**            | Een benadering van de grootte van een getal of grootheid, meestal uitgedrukt als een macht van 10.              |
| **Voorvoegsels**                | Prefixen die worden toegevoegd aan een eenheid om verschillende veelvouden of subdelen van die eenheid aan te geven, zoals kilo-, centi-, milli-, enzovoort. |
| **Machten van eenheden**        | De exponenten die worden gebruikt in het machten van 10-systeem om de grootte van een eenheid aan te geven.       |
| **Afgeleide eenheden**          | Eenheden die worden afgeleid van basiseenheden door middel van wiskundige operaties, zoals snelheid (m/s), versnelling (m/s²), enzovoort. |
| **Omrekeningsfactor van eenheden** | De factor waarmee een grootheid moet worden vermenigvuldigd om deze van de ene eenheid naar de andere om te zetten. |
| **Significante cijfers**        | De cijfers in een numerieke waarde die relevant zijn en betekenis hebben op basis van de nauwkeurigheid van de meting. |
| **Meetonzekerheid**             | De mate van onzekerheid of fout die gepaard gaat met een meting, meestal uitgedrukt als een bereik of marge van de waarde. |
| **Lineair verband**             | Een relatie tussen twee variabelen waarbij een verandering in één variabele gepaard gaat met een proportionele verandering in de andere variabele, resulterend in een rechte lijn wanneer grafisch weergegeven. |
| **Recht evenredigheid verband** | Een specifiek type lineair verband waarbij de variabelen recht evenredig zijn, wat betekent dat ze in dezelfde verhouding veranderen en door de oorsprong gaan wanneer grafisch weergegeven. |
| **Diagrammen van kromme naar rechte** | Het proces van het omzetten van grafieken met een niet-lineair verband naar grafieken met een lineair verband door middel van geschikte transformaties. |
| **Verbonden onderzoeken**       | Het analyseren van de relatie tussen verschillende variabelen, vaak door middel van grafische weergave, wiskundige modellering en experimenten. |

* Hd2



| **Term**                        | **Definitie**                                                                                                     |
|---------------------------------|-------------------------------------------------------------------------------------------------------------------|
| **Tijd-plaats diagram**          | Een grafische voorstelling waarbij de plaats van een object wordt uitgezet tegen de tijd, waardoor de beweging van het object in de tijd kan worden gevisualiseerd. |
| **Videometen**                  | Het proces van het meten van posities, snelheden of andere grootheden door middel van videobeelden.                |
| **Stroboscoop**                 | Een apparaat dat periodiek flitslicht produceert om bewegende objecten te bevriezen en hun positie te bepalen.     |
| **Ultrazone plaats sensor**     | Een sensor die ultrageluidsgolven gebruikt om de afstand tot objecten te meten.                                    |
| **Radar**                       | Een technologie die gebruikmaakt van radiogolven om de afstand, snelheid en andere eigenschappen van objecten te detecteren en te meten. |
| **Eenparig rechtlijnige beweging** | Een beweging waarbij een object zich met constante snelheid langs een rechte lijn voortbeweegt.                  |
| **Gemiddelde snelheid**         | De totale afstand afgelegd door een object gedeeld door de totale tijdsduur van de beweging.                       |
| **Constante snelheid**          | Een snelheid waarmee een object zich met gelijke mate voortbeweegt in een bepaalde richting zonder te versnellen of te vertragen. |
| **Eenparig versnelde beweging** | Een beweging waarbij de snelheid van een object uniform toeneemt over de tijd.                                     |
| **Versnelling**                 | De mate van verandering van snelheid van een object per tijdseenheid, gemeten in meters per seconde kwadraat (m/s²).|
| **Vrije val**                   | Een specifiek geval van eenparig versnelde beweging waarbij een object onder invloed van zwaartekracht valt zonder enige andere krachten die zijn beweging beïnvloeden. |
| **Vertraging**                  | De mate van afname van snelheid van een object per tijdseenheid, aangeduid als negatieve versnelling.              |
| **Plaats-tijd diagram**          | Een grafische voorstelling waarbij de plaats van een object wordt uitgezet tegen de tijd, waardoor de positie van het object in de tijd kan worden gevolgd. |
| **Snelheid op een tijdstip**     | De snelheid van een object op een specifiek tijdstip, weergegeven op een plaats-tijd diagram.                       |
| **Snijlijn**                    | Een lijn die twee andere lijnen of curven op een grafiek snijdt, wat de oplossing vertegenwoordigt voor het snijpunt van twee vergelijkingen. |
| **Numerieke rekenmethode**       | Een methode die gebruikmaakt van numerieke benaderingen en berekeningen om oplossingen te vinden voor wiskundige problemen die niet analytisch kunnen worden opgelost. |


* Hd3


| **Term**                        | **Definitie**                                                                                                 |
|---------------------------------|---------------------------------------------------------------------------------------------------------------|
| **Eigenschappen van krachten**  | Kenmerken die van toepassing zijn op krachten, zoals richting, grootte, punt van toepassing en type kracht.  |
| **Zwaartekracht**               | De aantrekkende kracht die objecten met massa naar elkaar toe trekt en verantwoordelijk is voor het houden van hemellichamen in een baan. |
| **Normaalkracht**              | De kracht die loodrecht staat op het oppervlak waarop een voorwerp rust en die wordt uitgeoefend door dat oppervlak op het voorwerp. |
| **Spankracht**                 | De kracht die wordt uitgeoefend door een touw, kabel of ander materiaal wanneer het wordt uitgerekt.         |
| **Veerkracht**                 | De kracht die wordt uitgeoefend door een veer of elastisch materiaal wanneer het wordt samengedrukt of uitgerekt. |
| **Schuifwrijvingskracht**      | De kracht die ontstaat tussen twee oppervlakken die over elkaar schuiven en die de beweging belemmert.      |
| **Weerstandskrachten**         | Krachten die tegenwerken bij de beweging van een object, zoals luchtweerstand of wrijving.                    |
| **Krachten samenstellen**      | Het proces van het combineren van verschillende krachten om een resulterende kracht te bepalen.              |
| **Resulterende kracht**        | De enkele kracht die hetzelfde effect heeft als alle oorspronkelijke krachten samen, en die de totale beweging of vervorming van een object bepaalt. |
| **Krachten ontbinden**         | Het proces van het opsplitsen van een enkele kracht in meerdere componenten langs verschillende assen of richtingen. |
| **Componenten van kracht**     | De individuele krachten langs de gekozen assen die samen de oorspronkelijke kracht vormen.                  |
| **Krachten in evenwicht**      | Een toestand waarin de resulterende kracht op een object nul is, waardoor het object in rust blijft of met constante snelheid beweegt. |
| **De eerste wet van Newton**   | Ook bekend als de wet van de traagheid, deze stelt dat een object in rust blijft of met constante snelheid beweegt tenzij er een resulterende kracht op werkt. |
| **De tweede wet van Newton**   | De wet die de relatie beschrijft tussen kracht, massa en versnelling, gegeven door de formule F = ma.        |
| **Traagheid**                  | De eigenschap van een object om weerstand te bieden tegen veranderingen in zijn bewegingstoestand, zoals veranderingen in snelheid of richting. |
| **De derde wet van Newton**    | Ook bekend als de wet van actie en reactie, deze stelt dat voor elke actiekracht er een gelijke maar tegengestelde reactiekracht is. |
| **Gewicht**                    | De kracht die wordt uitgeoefend op een object als gevolg van de zwaartekracht.                               |
| **Massa**                      | De hoeveelheid materie in een object, een maat voor de traagheid en de weerstand tegen versnelling.          |
| **Gewichtloosheid**            | De toestand waarin een object geen netto zwaartekracht ondervindt, zoals in vrije val of in een baan om een hemellichaam. |




* Hd4



| **Term**                       | **Definitie**                                                                                                  |
|--------------------------------|--------------------------------------------------------------------------------------------------------------|
| **Het molecuulmodel**          | Een model dat de opbouw van stoffen beschrijft in termen van individuele moleculen en hun interacties.      |
| **Chemische eigenschappen**    | De kenmerken van een stof die betrekking hebben op de reacties en interacties met andere stoffen op moleculair niveau. |
| **Fysische eigenschappen**     | De kenmerken van een stof die kunnen worden waargenomen of gemeten zonder dat er een chemische verandering optreedt. |
| **Temperatuur**                | Een maat voor de gemiddelde kinetische energie van de deeltjes in een systeem.                               |
| **Warmte**                     | De vorm van energie die wordt overgedragen als gevolg van temperatuurverschillen tussen objecten.            |
| **Fasen van stof**             | De verschillende aggregatietoestanden waarin materie kan voorkomen, zoals vast, vloeibaar en gas.          |
| **Faseovergangen**             | De overgangen tussen de verschillende aggregatietoestanden van materie, zoals smelten, verdampen en condenseren. |
