#+TITLE: CHECKLIST EXAMENKANDIDATEN NATUURKUNDE 2025: VWO
#+STARTUP: hidestars
#+OPTIONS: ^:nil
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
#+HTML_HEAD: <style>
#+HTML_HEAD: body {
#+HTML_HEAD:   max-width: 1200px; /* Change to your desired width */
#+HTML_HEAD:   margin: 0 auto;    /* Center the content */
#+HTML_HEAD: }
#+HTML_HEAD: </style>

| ✔                             |  Vaardigheden                                                                                    |
|-------------------------------+-----------------------------------------------------------------------------------------------------------|
| *HOOFDSTUK* 1                 |                                                                                                           |
| ⬜                            | Rekenen, significantie, wetenschappelijke notatie                                                         |
| ⬜                            | Vermenigvuldigen, significantie, werken met machten van 10                                                |
| ⬜                            | Exponentiële berekeningen, vermenigvuldigen, significantie                                                |
| ⬜                            | Optellen, significantie, wetenschappelijke notatie                                                        |
| ⬜                            | Omrekenen van eenheden, wetenschappelijke notatie                                                         |
| ⬜                            | Schalen interpreteren, schatten van afstanden                                                             |
| ⬜                            | Volume berekenen, dichtheidsformule toepassen                                                             |
| ⬜                            | Drukformule toepassen, omrekenen van eenheden                                                             |
| ⬜                            | Afleiden van eenheden, werken met S.I.-basiseenheden                                                      |
| ⬜                            | Verbanden herkennen, verbanden aantonen                                                                   |
| *HOOFDSTUK* 2                 |                                                                                                           |
| ⬜                            | Snelheid berekenen, schaal toepassen                                                                      |
| ⬜                            | Valversnelling toepassen, hoogte berekenen                                                                |
| ⬜                            | Afstanden berekenen uit (v,t)-diagram                                                                     |
| ⬜                            | Bewegingsformules toepassen                                                                               |
| ⬜                            | Gemiddelde snelheid berekenen                                                                             |
| ⬜                            | Maximum snelheid bepalen                                                                                  |
| ⬜                            | Versnelling berekenen uit (v,t)-diagram                                                                   |
| ⬜                            | Gemiddelde snelheid berekenen                                                                             |
| ⬜                            | Remvertraging berekenen                                                                                   |
| ⬜                            | Verplaatsing berekenen                                                                                    |
| ⬜                            | Hoogte berekenen met valversnelling                                                                       |
| *HOOFDSTUK* 3                 |                                                                                                           |
| ⬜                            | Krachten tekenen, parallellogrammethode                                                                   |
| ⬜                            | Componenten ontbinden, constructietekening                                                                |
| ⬜                            | Formules van krachten toepassen, trigonometrie                                                            |
| ⬜                            | Formules van beweging en krachten toepassen                                                               |
| ⬜                            | Krachtenbalans en beweging formules toepassen                                                             |
| ⬜                            | Formules voor versnelling en kracht                                                                       |
| ⬜                            | Krachten constructies tekenen                                                                             |
| ⬜                            | Componenten van krachten ontbinden                                                                        |
| ⬜                            | Krachtenbalans toepassen                                                                                  |
| ⬜                            | Krachten tekenen, versnelling berekenen                                                                   |
| ⬜                            | Krachten berekenen                                                                                        |
| ⬜                            | Formules van beweging toepassen                                                                           |
| ⬜                            | Krachtenbalans en luchtweerstand formules toepassen                                                       |
| *HOOFDSTUK* 4                 |                                                                                                           |
| ⬜                            | Warmtecapaciteit berekenen, volume- en energieformules toepassen                                          |
| ⬜                            | Energiebalans toepassen, temperatuurverandering berekenen                                                 |
| ⬜                            | Lineaire uitzetting berekenen met gegevens uit BINAS                                                      |
| ⬜                            | Thermische uitzetting en volumeverandering berekenen                                                      |
| ⬜                            | Druk- en veerkrachtformules toepassen                                                                     |
| ⬜                            | Elasticiteitsmodulus en treksterkte berekenen                                                             |
| ⬜                            | Kracht en oppervlak toepassen                                                                             |
| ⬜                            | Warmtestroomformule toepassen                                                                             |
| ⬜                            | Spanning berekenen met kracht en doorsnede                                                                |
| ⬜                            | Vermogen en energiegebruik berekenen                                                                      |
| ⬜                            | Energie en warmtecapaciteit toepassen                                                                     |
| ⬜                            | Warmtecapaciteit berekenen                                                                                |
| ⬜                            | Druk en veerkracht berekenen                                                                              |
| ⬜                            | Temperatuur en drukrelatie toepassen                                                                      |
| ⬜                            | Gaswetten toepassen                                                                                       |
| ⬜                            | Warmteverlies en warmtestroom berekenen                                                                   |
| *HOOFDSTUK* 5                 |                                                                                                           |
| ⬜                            | Vermogen berekenen met  (\( P = I^2 R \))                                                                 |
| ⬜                            | Basis schakelingen ontwerpen                                                                              |
| ⬜                            | Stroom- en spanningsverdeling toepassen                                                                   |
| ⬜                            | Weerstandsformule toepassen (\( R = \rho \frac{l}{A} \))                                                  |
| ⬜                            | Rendement en energieverbruik berekenen                                                                    |
| ⬜                            | Experiment ontwerpen, weerstand berekenen                                                                 |
| ⬜                            | Lineaire weerstand berekeningen                                                                           |
| ⬜                            | Weerstand en temperatuurveranderingen begrijpen                                                           |
| ⬜                            | Energieverbruik berekenen                                                                                 |
| ⬜                            | Elektrische lading en stroomsterkte berekenen                                                             |
| ⬜                            | Basis elektrotechnische principes                                                                         |
| ⬜                            | Weerstandsformules toepassen (\( R = \rho \frac{l}{A} \))                                                 |
| ⬜                            | Wet van Ohm toepassen                                                                                     |
| ⬜                            | Weerstanden in serie en parallel berekenen                                                                |
| ⬜                            | Stroomverdeling in complexe schakelingen                                                                  |
| ⬜                            | Wet van Ohm en spanningsverdeling toepassen                                                               |
| ⬜                            | Temperatuur-resistentie verband interpreteren                                                             |
| ⬜                            | Vermogen berekenen                                                                                        |
