#+TITLE: NATUURKUNDE VWO: OPGAVENPLANNER 2024-2025
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil

* Hd1
** Hd1.txt

| Opgave | Gegeven                            | Formules/Concepten                   | Gevraagd                      |
|--------|------------------------------------|-------------------------------------|-------------------------------|
| 1      | Leerlingen, klaslokaal              | Kwantitatieve en kwalitatieve observaties | Kwantitatieve en kwalitatieve observaties    |
| 2      | Ruimteschip, zonnepanelen           | Grootheden met eenheden en basiseenheden | Grootheden met eenheden en basiseenheden    |
| 3      | Meetwaarden (ℓ, m, t)              | Betekenis van 'm'                    | Betekenis van 'm'                           |
| 4      | Max, racecircuit                    | Snelheidsformule                     | Snelheid in m/s                             |
| 5      | Tomaten                            | Vergelijkingsgegeven                 | Vergelijkingsgegeven                        |
| 6      | Cijfers                                  | Macht van 10                         | Wetenschappelijke notatie van uitkomsten    |
| 7      | Cijfers                                  | Wetenschappelijke notatie            | Herschrijf getallen                         |
| 8      | Cijfers                                  | Wetenschappelijke notatie            | Herschrijf getallen zonder voorvoegsel      |
| 9      | Cijfers                                  | Voorvoegsels in wetenschappelijke notatie | Herschrijf getallen zonder macht van 10    |
| 10     | Cijfers                                  |  Orde van grootte                                  | Orde van grootte van meetwaarden            |
| 11     | Elektronenmicroscoop, supergeleider | Orde van grootte                      | Orde van grootte van platinadraadje en staafje |
| 12     | Weerkaart                          | Isobaren                              | Druk in mbar en hPa                        |
| 13     | Geluid in lucht                    | Geluidssnelheid                        | Snelheid van geluid in wetenschappelijke notatie en km/h |
| 14     | Veer                               | Hooke's wet                           | Veerkracht                                   |
| 15     | Auto's                             | Topsnelheid                            | Topsnelheid in aflopende volgorde            |
| 16     | Stof, warmte                       | Q = c ∙ m ∙ ΔT                        | Eenheid van soortelijke warmte               |
| 17     | Waterstofgas, ballon                | Massa van waterstofgas, eenheid van constante | Massa van waterstofgas, eenheid van constante |
| 18     | Maatglas                            | Volume met meetonzekerheid            | Volume met meetonzekerheid                  |
| 19     | Meetwaarden                        | Aantal significante cijfers           | Aantal significante cijfers                 |
| 20     | Meetwaarden                        | Uitkomsten in significante cijfers    | Uitkomsten in significante cijfers          |
| 21     | Cijfers                            | Wetenschappelijke notatie            | Omrekeningen                                 |
| 22     | Houten blok                        | Volume en dichtheid van hout          | Volume en dichtheid van hout                |
| 23     | Ohmse weerstand                     | Grafiek en metingen van stroomsterkte en spanning | Grafiek en metingen van stroomsterkte en spanning |
| 24     | Marmer blokjes                      | Standaardvorm van diagrammen          | Standaardvorm van diagrammen                 |
| 25     | Veer, trekkracht                   | Trekkracht bij uitrekking, evenredigheidsconstante | Trekkracht bij uitrekking, evenredigheidsconstante |
| 26     | Lens, letter L, scherm              | Verband tussen afstanden in diagram  | Verband tussen afstanden in diagram         |
| 27     | Koperdraad                         | Weerstand bij verschillende diameters | Weerstand bij verschillende diameters       |
| 28     | Tijden en snelheden                | Verband tussen tijd en snelheid       | Verband tussen tijd en snelheid             |
| 29     | Slingertijd, lengte                | Wortelverband, evenredigheidsconstante | Wortelverband, evenredigheidsconstante      |
| 30     | Gas, druk, volume                  | Wet van Boyle                         | Eenheid van constante c, waarde van c       |
| 31     | Veer, blokje                        | Wortelverband, evenredigheidsconstante | Wortelverband, evenredigheidsconstante      |
| 32     | Fietser, luchtweerstand            | Luchtweerstandskracht en constante kw | Luchtweerstandskracht en constante kw       |
| 33     | Remspoor, auto                      | Stopafstand bij verschillende snelheden | Stopafstand bij verschillende snelheden     |
| 34     | Torenkraan                          | Vergelijking van maximale massa       | Vergelijking van maximale massa             |
| 35     | Molen                               | Hoogte van de molen                   | Hoogte van de molen                         |
| 36     | Elastiek, massa                    | Verband tussen lengte en massa        | Verband tussen lengte en massa              |
| 37     | CD                                  | Tijd tijdens afspelen                 | Tijd tijdens afspelen                       |
| 38     | Glazen cilinder, water              | Oppervlakte en hoogte van het water   | Oppervlakte en hoogte van het water         |
| 39     | Jan-van-gent                       | Vleugelslag en snelheid               | Vleugelslag en snelheid                     |
| 40     | Auto, remsysteem                   | Stopafstand bij verschillende snelheden | Stopafstand bij verschillende snelheden     |
| 41     | Voltmeters                         | Vergelijking van meetonzekerheden      | Vergelijking van meetonzekerheden            |
| 42     | Heistelling, meetwiel               | Snelheid van geluid, metingen op afstanden | Snelheid van geluid, metingen op afstanden  |

* Hd2
** Hd2.txt
|  Opgave | Gegeven                            | Formules/Concepten                   | Gevraagd                      |
|----------------|-------------------|----------------|----------------------------------|
| 1              | Bus, camera       | Beweging, versnelling | Tijd tussen beelden, verplaatsing tussen beelden |
| 2              | Auto, video       | Beweging, snelheid | Diagram met juiste beweging      |
| 3              | Ultrasone sensor  | Geluidssnelheid in water | Diepte van de zee bij 0°C, invloed van temperatuur |
| 4              | Karretje, ultrasone sensor | Beweging, ultrasoon geluid | Minimale afstand sensor, (x,t)-diagram bij andere sensorpositie |
| 5              | Auto, kabels, computer | Snelheid, drukverandering | Snelheid van de auto, lengte van de auto |
| 6              | Sportauto, stroboscoop | Beweging, snelheid | Tijdsduur tussen beelden, snelheid van de auto, diameter van het wiel, flitsfrequentie |
| 7              | Usain Bolt, tijd, afstand | Snelheid, tijdsduur | Gemiddelde snelheid, verklaring topsnelheid, gemiddelde snelheid van Albert |
| 8              | Scooter, (x,t)-diagram | Beweging, snelheid | Gemiddelde snelheid eerste 6 seconden, snelheid tussen t=4 en t=6 s |
| 9              | Auto, (v,t)-diagram | Snelheid, trajectcontrole | Snelheid op t=0, tijd om 1,0 km af te leggen, overtreding |
| 10             | Lichtflits, donder | Geluidssnelheid, lichtsnelheid | Afstand van het onweer, snelheid van licht, tijdsvertraging licht |
| 11             | Fiets, tijd, afstand | Snelheid, tijd | Minimale snelheid, tijd om school te bereiken, (x,t)-diagram van de gehele beweging |
| 12             | Jachtluipaard, gazelle | Snelheid, afstand | Duur van maximale snelheid jachtluipaard, haalbaarheid van inhalen |
| 13             | Paard, (x,t)- en (v,t)-diagram | Versnelling, beweging | Afstand nodig voor overgaan in galop, afstand volgens beide diagrammen |
| 14             | Vuurpijl, (hoogte, tijd)-diagram | Beweging, snelheid | Hoogte afschot, beginsnelheid, gemiddelde snelheid, maximale snelheid, valmoment |
| 15             | Lift, (v,t)-diagram | Beweging, snelheid | Beschrijving van de liftbeweging, aantal verdiepingen tussen t=0 en t=8 s |
| 16             | Ijsje, (plaats, tijd)-diagram | Vrije val, snelheid | Beginsnelheid ijsje, snelheid bij de grond, vrije val |
| 17             | Joris, (v,t)-diagram | Versnelling, afstand | Versnelling eerste 2 seconden, afstand tussen t=0 en t=10 s, vertraging na t=6 s |
| 18             | Sprinter, (v,t)-diagram | Versnelling, snelheid | Reden voor vertraagde snelheidstoename, eindtijd sprinter |
| 19             | Auto, snelheidslimiet, remvertraging | Vertraging, snelheid | Remtijd om 80 km/h te bereiken, afstand tijdens remmen, minimale remvertraging |
| 20             | Diagrammen (x,t) en (v,t) | Beweging, snelheid | Diagrammen bij verschillende situaties (remmen, file, constante snelheid, heuvel op/af) |
| 21             | Dafne, (v,t)-diagram | Versnelling, snelheid | Versnelling tussen t=0 en t=5 s, versnelling op t=2 s, afgelegde afstand na 11 s, eindtijd bij constante snelheid |
| 22             | Kleuter, (v,t)-diagram | Versnelling, amplitude | Afstand tussen uiterste standen, gemiddelde snelheid, maximale versnelling |
| 23             | Danai, (v,t)-diagram | Versnelling, afstand | Afstand van verkeerslicht op t=1,0 s, versnelling tussen t=1,0 s en t=2,5 s, versnelling op t=3,0 s, afstand tussen t=2,5 s en t=5,0 s |
| 24             | Auto, (v,t)-diagram | Botsing, versnelling | Duur van de botsing, lengte van de kreukelzone, gemiddelde en maximale versnelling tijdens botsing |
| 25             | Eliica, sportwagen, (v,t)-diagram | Versnelling, inhaalmoment | Versnelling van Eliica, inhaal tijdstip sportwagen |
| 26             | Boeing 737, auto, remmen | Versnelling, remvertraging | Minimale lengte van de startbaan, afstand van de auto tijdens remmen |
| 27             | Skiër, (v,t)-diagram | Versnelling, afstand | Afstand bij eerste remfase, totale afstand tijdens remmen |
| 28             | Cooper Mini, versnelling | Versnelling, afstand | Versnelling tijdens optrekken, afstand tijdens verschillende perioden |
| 29             | Claire, Halima, (v,t)-diagram | Snelheid, reactietijd | Snelheid voor remmen, reactietijd, stopafstand, invloed van alcohol op reactietijd |
| 30             | Milou, (v,t)-diagram | Vrije val, snelheid | Snelheid bij de grond, (v,t)-diagram, hoogte van de val |
| 31             | Vrachtwagen, (v,t)-diagram | Remvertraging, remweg | Remvertraging, maximale reactietijd voor niet aanrijden |
| 32             | Skydiver, (v,t)-diagram | Versnelling, afstand | Steilheid van de grafieklijn, (v,t)-diagram, afstand voor maximale snelheid |
| 33             | Spaarrekening, rente | Rente, bedrag | Eindbedrag na vier jaar, aangepaste modelregel voor extra stortingen |
| 34             | Fiets, snelheid, tijd | Versnelling | Startwaarden voor snelheid en versnelling |
| 35             | Vrije val, (h,t)-diagram | Versnelling, hoogte | Tekstmodel voor (h,t)-diagram, hoogte boven de grond |
| 36             | Trein, remsysteem                      | Kinematica, constante versnelling    | x, v, a, maximum op t = 10,5 s     |
| 37             | Bal, werper                            | Kinematica, vrije val zonder wrijving| x, v, a, maximale hoogte, stopconditie|
| 38             | Stuiterbal                              | Kinematica, beweging met stuiteren   | Hoogte, snelheid, aantal stuiters, versnelling|
| 39             | Mensen, Space Shot attractie            | Kinematica, versnelling, hoogte      | Snelheid, hoogte, versnelling      |

* Hd3
** Hd3.txt
|  Opgave | Gegeven                            | Formules/Concepten                   | Gevraagd                      |
|----------------|----------------------------------------|-------------------------------------|------------------------------------|
| 1              | Fiets, wielrenner, luchtweerstand      | Weerstandskrachten, luchtweerstand  | Cw, rolweerstandskracht, invloed houding |
| 2              | Blokje, veer                           | Veerkracht, zwaartekracht            | Veerconstante, uitrekking veer     |
| 3              | Veerunsters                            | Veerkracht                           | Oplopende veerconstante            |
| 4              | Twee veren                             | Veerkracht                           | Veerconstante veer A en B           |
| 5              | Blok op tafel, helling                 | Zwaartekracht, normaalkracht         | Massa, normaalkracht, krachten op helling |
| 6              | Auto, wegdek                           | Schuifwrijvingskracht                | Schuifwrijvingscoëfficiënt, snelheid op nat wegdek |
| 7              | Blokje, plaat                          | Schuifwrijvingskracht                | Schuifwrijvingscoëfficiënt           |
| 8              | Honden, riemen                         | Krachten samenstellen                | Resulterende kracht in verschillende richtingen |
| 9              | Twee krachten                          | Krachten samenstellen                | Resulterende kracht, hoek tussen krachten |
| 10             | Twee honden, riemen                    | Krachten samenstellen                | Resulterende kracht bij verschillende hoeken |
| 11             | Drie krachten                           | Krachten samenstellen                | Resulterende kracht, hoek tussen krachten |
| 12             | Lamp, draden                           | Spankracht                           | Resulterende kracht van spankrachten |
| 13             | Bord, touwen                           | Spankracht                           | Resulterende spankracht             |
| 14             | Twee krachten                           | Krachten samenstellen                | Resulterende kracht bij 90° hoek    |
| 15             | Twee krachten                           | Krachten samenstellen                | Resulterende kracht, hoek tussen krachten |
| 16             | Krachtcomponenten                      | Krachten ontbinden                   | Componenten langs werklijn         |
| 17             | Krachtcomponenten                      | Krachten ontbinden                   | Componenten langs werklijn         |
| 18             | Honden, riemen                         | Krachten ontbinden                   | Spankrachten in riemen, hoeken      |
| 19             | Componenten van kracht                 | Krachten ontbinden                   | Componenten, hoek tussen krachten   |
| 20             | Skiër, helling                         | Krachten ontbinden                   | Componenten langs helling, procentuele verandering |
| 21             | Zeilboot, motorboot, sleeptouw         | Krachten ontbinden                   | Spankrachten in sleeptouw           |
| 22             | Auto's, boom, touwen                   | Krachten ontbinden                   | Trekkracht, spankrachten, hoek      |
| 23             | Twee krachten                          | Krachten in evenwicht                | Derde kracht                         |
| 24             | Krachten bij bergbeklimster             | Krachten in evenwicht                | Krachten met methode schommel en bergbeklimster |
| 25             | Klimmer, touw                          | Krachten in evenwicht                | Spankrachten in touw, krachtenschaal  |
| 26             | Draadraam, touwtjes a, b, c, krachtmeter     | Krachten in evenwicht                    | Spankrachten in touwtjes b en c                     |
| 27             | Karlijn, Catootje, Jeroen, pop               | Krachten in evenwicht                    | Kracht van Jeroen, hoek tussen Jeroen en Karlijn    |
| 28             | Veer, krachtmeter, blokje                    | Krachten in evenwicht                    | Massa van het blokje                                |
| 29             | Schommel, opa, Fynn                         | Krachten in evenwicht                    | Trekkracht van opa en Fynn                          |
| 30             | Vrachtwagen, touw, krachtmeter               | Krachten in evenwicht, tweede wet van Newton | Tegenwerkende kracht Fw, rolweerstandsgedrag       |
| 31             | Koffer, helling                             | Krachten in evenwicht, tweede wet van Newton | Normaalkracht, schuifwrijvingskracht                 |
| 32             | Fietser, glas, speelgoedtrein                | Eerste wet van Newton                    | Gevolgen van krachtwerking, toepasbaarheid eerste wet |
| 33             | Vrachtschip, sleepboten, wrijvingskracht     | Krachten in evenwicht                    | Beweging van het vrachtschip                        |
| 34             | Slee, touw, massa, schuifwrijvingscoëfficiënt | Krachten in evenwicht, tweede wet van Newton | Normaalkracht, constante snelheid beoordeling       |
| 35             | Blokje, helling                             | Krachten in evenwicht, schuifwrijvingskracht | Schuifwrijvingscoëfficiënt, schuifwrijvingskracht   |
| 36             | Boot, helling, schuifwrijvingskracht         | Krachten in evenwicht, tweede wet van Newton | Spankracht in de kabel                              |
| 37             | Parachutist, luchtweerstand, zwaartekracht   | Krachten in evenwicht, tweede wet van Newton | Krachten bij constante snelheid, luchtweerstand vergelijkingen |
| 38             | Motorboot, wrijvingskracht, massa             | Tweede wet van Newton                    | Versnelling van de boot                             |
| 39             | Sleetjes, trekkracht, wrijvingskracht        | Tweede wet van Newton                    | Volgorde van versnellingen                         |
| 40             | Margreet, slee, massa, helling               | Tweede wet van Newton                    | Component van zwaartekracht, hellingshoek, tegenwerkende kracht |
| 41             | Auto, snelheid, massa                       | Tweede wet van Newton                    | Resulterende kracht tijdens remmen                 |
| 42             | Heteluchtballon, luchtweerstand              | Krachten in evenwicht                    | Verloop luchtweerstand, snelheid na opening parachute |
| 43             | Blokken, luchtkussenbaan, massa              | Tweede wet van Newton                    | Kracht op blokken, versnelling van blok M            |
| 44             | Basejumper, parachute, luchtweerstand        | Tweede wet van Newton                    | Versnelling, luchtweerstand, luchtweerstandscoëfficiënt |
| 45             | Magneten                                     | Derde wet van Newton                     | Krachten op de magneten                            |
| 46             | Baksteen, hand, massa                       | Tweede wet van Newton                    | Gewicht, kracht tijdens omhooggooien, gewicht bij val |
| 47             | Inez, lift                                   | Tweede wet van Newton                    | Gewicht op verschillende tijdstippen                |
| 48             | Jurgen, auto, autostoel                      | Tweede wet van Newton                    | Normaalkracht, horizontale kracht, totale kracht    |
| 49             | Sprinter, startblok                         | Tweede wet van Newton                    | Maximale kracht, tegenwerkende krachten            |
| 50             | Model auto, snelheid, kracht, luchtweerstand | Krachten in evenwicht                    | Aanvulling van het model                           |
| 51             | Auto, snelheid, motor, luchtweerstand        | Tweede wet van Newton                    | Model aanvulling, (v,t)-diagram                     |
| 52             | Skydiver, luchtdichtheid, parachute           | Krachten in evenwicht                    | Valrichting, luchtdichtheid veranderingen            |
| 53             | Skydiver, birdmanpak, luchtweerstand          | Krachten in evenwicht                    | Luchtweerstandscoëfficiënt                           |
| 54             | Baumgartner, parachute, luchtdichtheid        | Krachten in evenwicht                    | Maximale snelheid, kracht bij parachute openen    |
| 55             | X-Stream attractie, persoon, schuifwrijvingskracht | Krachten in evenwicht                    | Invloed van schuifwrijvingskracht en steilheid     |
| 56a      | Hijskraan, ijzeren balk, kabel   | Newtons wetten, krachtenbalans           | Manier van hijsen die voorkomt dat de kabel breekt          |
| 56b      | Hijskraan, ijzeren balk, kabel   | Newtons wetten, krachtenbalans           | Spankracht in de kabel bij versnelling van 1,8 m/s²         |
| 56c      | Hijskraan, ijzeren balk, kabel c | Newtons wetten, krachtenbalans           | Spankracht in kabel c wanneer de balk stilhangt             |
| 57a      | Buckeye Bullet, zoutvlakte       | Newtons wetten, krachtenbalans, gripregel | Controle of de vuistregel voor voortstuwende kracht geldt  |
| 57b      | Buckeye Bullet                   | Krachtbalans, luchtweerstand             | Waarde van constante k in de luchtweerstandskrachtformule    |
| 57c      | Buckeye Bullet                   | Krachtbalans, luchtweerstand             | Theoretische maximale snelheid van de Buckeye Bullet        |
| 57d      | Buckeye Bullet, bestuurder       | Newtons wetten, krachtenbalans           | Maximale kracht op de bestuurder door de gordels            |
| 57e      | Buckeye Bullet                   | Newtons wetten, krachtenbalans, bewegingsvergelijkingen | Remafstand van de Buckeye Bullet                            |

* Hd4
** Hd4.txt
|  Opgave | Gegeven                            | Formules/Concepten                   | Gevraagd                      |
|----------------|---------------------------------|--------------------------------------------|----------------------------------------------|
| 1              | Alcoholthermometer               | Temperatuur; Molecuulbeweging               | Veranderingen in temperatuur en molecuulbeweging |
| 2              | Temperatuur in °C en K           | Omrekeningsformules tussen °C en K          | Omrekening van temperatuur                   |
| 3              | Deodorant; Lucht                 | Molecuulbeweging en diffusie                | Verspreiding van geur                        |
| 4              | Vriezer; IJs                     | Bevriezen en warmteoverdracht               | Snelheid van ijsvorming; Verlagen van ijsvorming |
| 5              | Stof; Temperatuur                | Kinetische energie; Temperatuurverschil     | Kinetische energie; Temperatuurverschil in °C en K |
| 6              | Brug; Viaduct                    | Thermische uitzetting                      | Verandering in spleten bij temperatuurstijging |
| 7              | As; Wiel                         | Thermische uitzetting                      | Uitzetting van de as bij temperatuurverandering |
