#+TITLE: NATUURKUNDE VWO: VEELGESTELDE VRAGEN 2024-2025
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil


* Hd1
** Hd1.txt

| # | Vraag                                                                                   | Antwoord                                               |
|-----------------|---------------------------------------------------------------------------------------------|------------------------------------------------------------|
| 1               | Wat is het internationale eenhedenstelsel?                                                  | Het Internationale Eenhedenstelsel (SI) is een systeem van standaardeenheden voor het meten van grootheden. |
| 2               | Hoeveel basisgrootheden zijn er in het SI-systeem?                                          | Er zijn zeven basisgrootheden in het SI-systeem.           |
| 3               | Noem drie voorbeelden van basisgrootheden en hun eenheden.                                  | Lengte (meter), tijd (seconde), stroomsterkte (ampère).    |
| 4               | Wat is een afgeleide grootheid?                                                              | Een afgeleide grootheid is een grootheid die kan worden uitgedrukt in basiseenheden, zoals snelheid (meter per seconde). |
| 5               | Hoe noteer je een grootheid zonder een eenheid?                                              | Een grootheid zonder een eenheid is onvolledig en dus incorrect. |
| 6               | Hoe geef je de orde van grootte aan?                                                         | De orde van grootte wordt aangegeven met een macht van tien, waarbij het getal voor de komma is afgerond. |
| 7               | Wat betekent een negatieve macht van tien?                                                  | Een negatieve macht van tien betekent delen door tien tot de macht van het negatieve getal. |
| 8               | Wat is een voorbeeld van een afgeleide eenheid?                                              | Voorbeeld: snelheid, die wordt uitgedrukt in meter per seconde (m/s). |
| 9               | Wat is de betekenis van het symbool "s" in het SI-systeem?                                  | Het symbool "s" staat voor de eenheid seconde, die de tijd meet. |
| 10              | Hoe worden eenheden in de wetenschappelijke notatie geschreven?                            | Eenheden worden in wetenschappelijke notatie geschreven als een getal met één cijfer voor de komma, gevolgd door een macht van tien. |
| 11              | Wat is de eenheid van massa in het SI-systeem?                                               | De eenheid van massa in het SI-systeem is de kilogram (kg). |
| 12              | Noem een voorbeeld van een grootheid die met een afgeleide eenheid wordt gemeten.           | Voorbeeld: snelheid, gemeten in meter per seconde (m/s).  |
| 13              | Hoe kun je de snelheid van een object berekenen als je de afstand en tijd weet?              | Snelheid wordt berekend door de afstand te delen door de tijd (snelheid = afstand / tijd). |
| 14              | Wat is een veelgebruikte voorvoegsel voor "duizendste" in wetenschappelijke notatie?        | Het voorvoegsel voor "duizendste" is "milli" (m).         |
